"latitude","longitude","InsularCoast"
11.7,-71.4,"Continental"
11.8,-71.4,"Continental"
11.7,-71.4,"Insular"
11.8,-71.3,"Continental"
11.7,-71.3,"Continental"
11.7,-71.3,"Insular"
11.9,-71.3,"Continental"
11.8,-71.3,"Insular"
12,-71.3,"Continental"
11.9,-71.3,"Insular"
12,-71.2,"Continental"
11.9,-71.2,"Continental"
11.9,-71.2,"Insular"
11.8,-71.2,"Insular"
12.1,-71.2,"Continental"
12,-71.2,"Insular"
12.1,-71.1,"Continental"
12,-71.1,"Continental"
12,-71.1,"Insular"
11.9,-71.1,"Insular"
12.1,-71.1,"Insular"
12.1,-71,"Insular"
12,-71,"Insular"
12.1,-70.9,"Insular"
12.2,-70.9,"Insular"
12,-70.9,"Insular"
12.2,-70.8,"Insular"
12.1,-70.8,"Insular"
12,-70.8,"Insular"
12.2,-70.7,"Insular"
12.1,-70.7,"Insular"
12,-70.7,"Insular"
11.3,-70.6,"Insular"
11.3,-70.6,"Continental"
11.4,-70.5,"Insular"
11.3,-70.5,"Insular"
11.3,-70.5,"Continental"
11.4,-70.4,"Insular"
11.3,-70.4,"Continental"
11.4,-70.4,"Continental"
12,-70.4,"Insular"
11.9,-70.4,"Insular"
11.8,-70.4,"Insular"
12,-70.3,"Insular"
11.9,-70.3,"Insular"
11.8,-70.3,"Insular"
11.4,-70.3,"Insular"
11.4,-70.3,"Continental"
11.3,-70.3,"Continental"
12.1,-70.3,"Insular"
11.7,-70.3,"Insular"
11.5,-70.3,"Insular"
11.9,-70.3,"Continental"
11.8,-70.3,"Continental"
12,-70.3,"Continental"
11.6,-70.3,"Insular"
12.2,-70.3,"Insular"
11.7,-70.3,"Continental"
12.2,-70.2,"Insular"
12.1,-70.2,"Insular"
12.1,-70.2,"Continental"
12,-70.2,"Continental"
11.9,-70.2,"Continental"
11.8,-70.2,"Continental"
11.7,-70.2,"Continental"
11.7,-70.2,"Insular"
11.6,-70.2,"Insular"
11.5,-70.2,"Insular"
11.4,-70.2,"Continental"
12.7,-70.2,"Insular"
12.6,-70.2,"Insular"
11.6,-70.2,"Continental"
11.5,-70.2,"Continental"
12.2,-70.2,"Continental"
12.5,-70.2,"Insular"
12.3,-70.2,"Insular"
12.7,-70.1,"Insular"
12.6,-70.1,"Insular"
12.5,-70.1,"Insular"
12.3,-70.1,"Insular"
12.2,-70.1,"Insular"
12.2,-70.1,"Continental"
12.1,-70.1,"Continental"
11.7,-70.1,"Continental"
11.6,-70.1,"Continental"
11.6,-70.1,"Insular"
11.5,-70.1,"Insular"
11.5,-70.1,"Continental"
11.4,-70.1,"Continental"
12.4,-70.1,"Insular"
12.7,-70,"Insular"
12.5,-70,"Insular"
12.4,-70,"Insular"
12.3,-70,"Insular"
12.2,-70,"Insular"
12.2,-70,"Continental"
11.7,-70,"Continental"
11.6,-70,"Continental"
11.6,-70,"Insular"
11.5,-70,"Insular"
11.5,-70,"Continental"
12.6,-70,"Insular"
12.7,-69.9,"Insular"
12.6,-69.9,"Insular"
12.4,-69.9,"Insular"
12.3,-69.9,"Insular"
12.2,-69.9,"Insular"
12.2,-69.9,"Continental"
11.7,-69.9,"Continental"
11.7,-69.9,"Insular"
11.6,-69.9,"Insular"
11.5,-69.9,"Insular"
11.5,-69.9,"Continental"
12.1,-69.9,"Continental"
12.5,-69.9,"Insular"
11.6,-69.9,"Continental"
12.7,-69.8,"Insular"
12.6,-69.8,"Insular"
12.5,-69.8,"Insular"
12.4,-69.8,"Insular"
12.3,-69.8,"Insular"
12.2,-69.8,"Insular"
12.1,-69.8,"Insular"
12.1,-69.8,"Continental"
12,-69.8,"Continental"
11.7,-69.8,"Continental"
11.6,-69.8,"Continental"
11.5,-69.8,"Continental"
11.9,-69.8,"Continental"
12,-69.8,"Insular"
11.8,-69.8,"Continental"
11.9,-69.8,"Insular"
11.8,-69.8,"Insular"
12.5,-69.7,"Insular"
12.4,-69.7,"Insular"
11.9,-69.7,"Insular"
11.8,-69.7,"Insular"
11.7,-69.7,"Continental"
11.6,-69.7,"Continental"
11.7,-69.7,"Insular"
11.5,-69.7,"Continental"
11.6,-69.7,"Insular"
11.7,-69.6,"Insular"
11.6,-69.6,"Insular"
11.5,-69.6,"Insular"
11.5,-69.6,"Continental"
11.6,-69.5,"Insular"
11.5,-69.5,"Insular"
11.5,-69.5,"Continental"
11.5,-69.4,"Insular"
11.5,-69.4,"Continental"
11.6,-69.4,"Insular"
11.6,-69.3,"Insular"
11.5,-69.3,"Insular"
11.5,-69.3,"Continental"
12.4,-69.3,"Insular"
12.3,-69.3,"Insular"
12.2,-69.3,"Insular"
12.5,-69.3,"Insular"
12.5,-69.2,"Insular"
12.4,-69.2,"Insular"
12.3,-69.2,"Insular"
12.2,-69.2,"Insular"
11.6,-69.2,"Insular"
11.5,-69.2,"Insular"
11.5,-69.2,"Continental"
12.1,-69.2,"Insular"
12.5,-69.1,"Insular"
12.4,-69.1,"Insular"
12.2,-69.1,"Insular"
12.1,-69.1,"Insular"
11.6,-69.1,"Insular"
11.5,-69.1,"Insular"
11.5,-69.1,"Continental"
12,-69.1,"Insular"
12.3,-69.1,"Insular"
12.4,-69,"Insular"
12.3,-69,"Insular"
12.1,-69,"Insular"
12,-69,"Insular"
11.6,-69,"Insular"
11.5,-69,"Insular"
11.5,-69,"Continental"
12.4,-68.9,"Insular"
12.3,-68.9,"Insular"
12.1,-68.9,"Insular"
12,-68.9,"Insular"
11.6,-68.9,"Insular"
11.5,-68.9,"Insular"
11.5,-68.9,"Continental"
12.2,-68.9,"Insular"
11.4,-68.9,"Continental"
12.3,-68.8,"Insular"
12.2,-68.8,"Insular"
12,-68.8,"Insular"
11.5,-68.8,"Insular"
11.5,-68.8,"Continental"
11.4,-68.8,"Continental"
11.9,-68.8,"Insular"
12.1,-68.8,"Insular"
11.4,-68.8,"Insular"
12.2,-68.7,"Insular"
12.1,-68.7,"Insular"
12,-68.7,"Insular"
11.9,-68.7,"Insular"
11.5,-68.7,"Insular"
11.4,-68.7,"Insular"
11.4,-68.7,"Continental"
11.3,-68.7,"Continental"
12.1,-68.6,"Insular"
12,-68.6,"Insular"
11.4,-68.6,"Insular"
11.3,-68.6,"Insular"
11.3,-68.6,"Continental"
11.2,-68.6,"Continental"
12.4,-68.5,"Insular"
12.3,-68.5,"Insular"
11.3,-68.5,"Insular"
11.3,-68.5,"Continental"
11.2,-68.5,"Continental"
12.2,-68.5,"Insular"
11.2,-68.5,"Insular"
12.4,-68.4,"Insular"
12.3,-68.4,"Insular"
12.2,-68.4,"Insular"
11.3,-68.4,"Insular"
11.2,-68.4,"Insular"
11.2,-68.4,"Continental"
12.1,-68.4,"Insular"
11.1,-68.4,"Continental"
11,-68.4,"Continental"
10.9,-68.4,"Continental"
12,-68.4,"Insular"
11.1,-68.4,"Insular"
10.8,-68.4,"Continental"
12.4,-68.3,"Insular"
12.3,-68.3,"Insular"
12.2,-68.3,"Insular"
12.1,-68.3,"Insular"
12,-68.3,"Insular"
11.2,-68.3,"Insular"
11.1,-68.3,"Insular"
11,-68.3,"Insular"
11,-68.3,"Continental"
10.9,-68.3,"Continental"
10.8,-68.3,"Continental"
10.7,-68.3,"Continental"
10.9,-68.3,"Insular"
10.8,-68.3,"Insular"
10.7,-68.3,"Insular"
10.6,-68.3,"Continental"
11.9,-68.3,"Insular"
12.3,-68.2,"Insular"
12.2,-68.2,"Insular"
12,-68.2,"Insular"
11.9,-68.2,"Insular"
10.7,-68.2,"Insular"
10.6,-68.2,"Insular"
10.6,-68.2,"Continental"
12.1,-68.2,"Insular"
10.5,-68.2,"Continental"
12.3,-68.1,"Insular"
12.2,-68.1,"Insular"
12.1,-68.1,"Insular"
12,-68.1,"Insular"
10.6,-68.1,"Insular"
10.5,-68.1,"Continental"
10.5,-68.1,"Insular"
10.5,-68,"Continental"
10.5,-67.9,"Continental"
10.6,-67.8,"Continental"
10.5,-67.8,"Continental"
12,-67.8,"Insular"
11.9,-67.8,"Insular"
12.1,-67.7,"Insular"
12,-67.7,"Insular"
11.9,-67.7,"Insular"
10.6,-67.7,"Continental"
10.5,-67.7,"Continental"
12.1,-67.6,"Insular"
12,-67.6,"Insular"
11.9,-67.6,"Insular"
10.6,-67.6,"Continental"
10.6,-67.5,"Continental"
10.6,-67.4,"Continental"
10.6,-67.3,"Continental"
10.6,-67.2,"Continental"
10.6,-67.1,"Continental"
10.6,-67,"Continental"
10.6,-66.9,"Continental"
11.8,-66.9,"Insular"
11.7,-66.9,"Insular"
11.9,-66.9,"Insular"
12,-66.8,"Insular"
11.9,-66.8,"Insular"
11.8,-66.8,"Insular"
11.7,-66.8,"Insular"
10.6,-66.8,"Continental"
12,-66.7,"Insular"
11.9,-66.7,"Insular"
11.8,-66.7,"Insular"
11.7,-66.7,"Insular"
10.7,-66.7,"Continental"
10.6,-66.7,"Continental"
11.9,-66.6,"Insular"
11.8,-66.6,"Insular"
11.7,-66.6,"Insular"
10.7,-66.6,"Continental"
10.6,-66.6,"Continental"
11.9,-66.5,"Insular"
11.8,-66.5,"Insular"
10.7,-66.5,"Continental"
10.7,-66.4,"Continental"
10.7,-66.3,"Continental"
11.9,-66.3,"Insular"
11.8,-66.3,"Insular"
10.6,-66.3,"Continental"
11.9,-66.2,"Insular"
11.8,-66.2,"Insular"
10.6,-66.2,"Continental"
11.7,-66.2,"Insular"
12,-66.2,"Insular"
12,-66.1,"Insular"
11.9,-66.1,"Insular"
11.8,-66.1,"Insular"
11.7,-66.1,"Insular"
11.9,-66,"Insular"
11.8,-66,"Insular"
11.7,-66,"Insular"
10.9,-65.5,"Insular"
11,-65.5,"Insular"
11,-65.4,"Insular"
10.9,-65.4,"Insular"
10.8,-65.4,"Insular"
11,-65.3,"Insular"
10.9,-65.3,"Insular"
10.8,-65.3,"Insular"
11,-65.2,"Insular"
10.9,-65.2,"Insular"
10.8,-65.2,"Insular"
10.1,-65.2,"Continental"
10.1,-65.2,"Insular"
11,-65.1,"Insular"
10.9,-65.1,"Insular"
10.8,-65.1,"Insular"
10.1,-65.1,"Insular"
10.1,-65.1,"Continental"
10.1,-65,"Insular"
10.1,-65,"Continental"
10.2,-65,"Insular"
10.2,-64.9,"Insular"
10.1,-64.9,"Continental"
10.2,-64.8,"Insular"
10.1,-64.8,"Continental"
11.9,-64.8,"Insular"
11.8,-64.8,"Insular"
12,-64.8,"Insular"
10.2,-64.8,"Continental"
12,-64.7,"Insular"
11.9,-64.7,"Insular"
11.8,-64.7,"Insular"
10.2,-64.7,"Insular"
10.2,-64.7,"Continental"
10.1,-64.7,"Continental"
11.7,-64.7,"Insular"
12,-64.6,"Insular"
11.9,-64.6,"Insular"
11.8,-64.6,"Insular"
11.7,-64.6,"Insular"
10.2,-64.6,"Insular"
10.2,-64.6,"Continental"
10.3,-64.6,"Insular"
12,-64.5,"Insular"
11.9,-64.5,"Insular"
11.8,-64.5,"Insular"
11.7,-64.5,"Insular"
10.3,-64.5,"Insular"
10.2,-64.5,"Continental"
11,-64.5,"Insular"
10.9,-64.5,"Insular"
11.1,-64.5,"Insular"
11.2,-64.5,"Insular"
10.3,-64.5,"Continental"
11.9,-64.4,"Insular"
11.8,-64.4,"Insular"
11.7,-64.4,"Insular"
11.2,-64.4,"Insular"
11.1,-64.4,"Insular"
11,-64.4,"Insular"
10.9,-64.4,"Insular"
10.3,-64.4,"Insular"
10.3,-64.4,"Continental"
10.2,-64.4,"Continental"
10.4,-64.4,"Insular"
15.6,-64.4,"Insular"
15.5,-64.4,"Insular"
15.4,-64.4,"Insular"
10.4,-64.4,"Continental"
15.7,-64.3,"Insular"
15.6,-64.3,"Insular"
15.5,-64.3,"Insular"
15.4,-64.3,"Insular"
11.2,-64.3,"Insular"
11.1,-64.3,"Insular"
10.9,-64.3,"Insular"
10.7,-64.3,"Insular"
10.4,-64.3,"Insular"
10.4,-64.3,"Continental"
10.3,-64.3,"Continental"
10.6,-64.3,"Insular"
10.8,-64.3,"Insular"
10.5,-64.3,"Insular"
15.3,-64.3,"Insular"
15.8,-64.3,"Insular"
10.7,-64.3,"Continental"
10.6,-64.3,"Continental"
15.8,-64.2,"Insular"
15.7,-64.2,"Insular"
15.6,-64.2,"Insular"
15.5,-64.2,"Insular"
15.4,-64.2,"Insular"
15.3,-64.2,"Insular"
11.2,-64.2,"Insular"
11.1,-64.2,"Insular"
10.9,-64.2,"Insular"
10.8,-64.2,"Insular"
10.7,-64.2,"Insular"
10.7,-64.2,"Continental"
10.6,-64.2,"Continental"
10.6,-64.2,"Insular"
10.5,-64.2,"Insular"
10.5,-64.2,"Continental"
10.4,-64.2,"Continental"
15.2,-64.2,"Insular"
11,-64.2,"Insular"
15.8,-64.1,"Insular"
15.7,-64.1,"Insular"
15.6,-64.1,"Insular"
15.5,-64.1,"Insular"
15.4,-64.1,"Insular"
15.3,-64.1,"Insular"
15.2,-64.1,"Insular"
11.2,-64.1,"Insular"
11.1,-64.1,"Insular"
11,-64.1,"Insular"
10.9,-64.1,"Insular"
10.8,-64.1,"Insular"
10.7,-64.1,"Insular"
10.7,-64.1,"Continental"
10.6,-64.1,"Continental"
10.6,-64.1,"Insular"
10.5,-64.1,"Insular"
10.5,-64.1,"Continental"
10.4,-64.1,"Continental"
15.7,-64,"Insular"
15.6,-64,"Insular"
15.5,-64,"Insular"
15.4,-64,"Insular"
15.3,-64,"Insular"
11.2,-64,"Insular"
11.1,-64,"Insular"
10.9,-64,"Insular"
10.8,-64,"Insular"
10.7,-64,"Insular"
10.7,-64,"Continental"
10.6,-64,"Continental"
10.6,-64,"Insular"
10.5,-64,"Insular"
10.5,-64,"Continental"
10.4,-64,"Continental"
11.3,-64,"Insular"
11.3,-63.9,"Insular"
11.2,-63.9,"Insular"
10.9,-63.9,"Insular"
10.8,-63.9,"Insular"
10.7,-63.9,"Insular"
10.7,-63.9,"Continental"
10.6,-63.9,"Continental"
10.6,-63.9,"Insular"
10.5,-63.9,"Insular"
10.5,-63.9,"Continental"
10.4,-63.9,"Continental"
11.3,-63.8,"Insular"
11.2,-63.8,"Insular"
10.9,-63.8,"Insular"
10.8,-63.8,"Insular"
10.7,-63.8,"Insular"
10.7,-63.8,"Continental"
10.6,-63.8,"Continental"
10.6,-63.8,"Insular"
10.5,-63.8,"Insular"
10.5,-63.8,"Continental"
10.4,-63.8,"Continental"
11.1,-63.8,"Insular"
11,-63.8,"Insular"
11.2,-63.7,"Insular"
11.1,-63.7,"Insular"
11,-63.7,"Insular"
10.9,-63.7,"Insular"
10.7,-63.7,"Insular"
10.7,-63.7,"Continental"
10.6,-63.7,"Continental"
10.5,-63.7,"Continental"
10.4,-63.7,"Continental"
10.7,-63.6,"Insular"
10.7,-63.6,"Continental"
10.8,-63.6,"Insular"
10.8,-63.5,"Insular"
10.7,-63.5,"Insular"
10.7,-63.5,"Continental"
10.8,-63.4,"Insular"
10.7,-63.4,"Insular"
10.7,-63.4,"Continental"
10.8,-63.3,"Insular"
10.7,-63.3,"Insular"
10.7,-63.3,"Continental"
10.8,-63.2,"Insular"
10.7,-63.2,"Insular"
10.7,-63.2,"Continental"
10.8,-63.1,"Insular"
10.7,-63.1,"Insular"
10.7,-63.1,"Continental"
10.8,-63,"Insular"
10.7,-63,"Insular"
10.7,-63,"Continental"
10.8,-62.9,"Insular"
10.7,-62.9,"Insular"
10.7,-62.9,"Continental"
10.8,-62.8,"Insular"
10.7,-62.8,"Insular"
10.7,-62.8,"Continental"
10.8,-62.7,"Insular"
10.7,-62.7,"Insular"
10.7,-62.7,"Continental"
10.8,-62.6,"Insular"
10.7,-62.6,"Insular"
10.7,-62.6,"Continental"
10.8,-62.5,"Insular"
10.7,-62.5,"Continental"
10.8,-62.4,"Insular"
10.7,-62.4,"Continental"
10.8,-62.3,"Insular"
10.7,-62.3,"Continental"
12.6,-61,"Insular"
14.1,-60.4,"Insular"
