"Locality","Site","InsularCoast","Position","Branching","Plate","Foliose","Massive","Pillar","Solitary.Other","Encrusting","Knobby","Flower.Cup","latitude","longitude"
"Chichiriviche","La Pared","Continental","Center",0,3.84615384615385,0,93.6644495855022,0,0.595238095238095,1.89415847310584,0,0,10.554,-67.239
"Chichiriviche","Media Legua","Continental","Center",0,0,0,92.6470588235294,0,0,7.3529411764706,0,0,10.555,-67.21
"Chichiriviche","Petaquire","Continental","Center",0,0,0,88.770325203252,0,0,11.229674796748,0,0,10.548,-67.277
"Chichiriviche","Playa Tiburon","Continental","Center",0,0.833333333333332,0,96.0951576576577,0,0,3.07150900900901,0,0,10.547,-67.267
"Chichiriviche","Punta de Media Legua","Continental","Center",0,0.510204081632653,0,91.156462585034,0,0,8.33333333333333,0,0,10.557,-67.203
"Chichiriviche","Punta Mono","Continental","Center",0,4.46428571428573,0,92.25,0,0,1.5,0,1.78571428571428,10.551,-67.252
"Cubagua","Charagato","Insular","East",6.25,0,0,68.75,0,0,0,0,0,10.816,-64.227
"Cubagua","La Muerta","Insular","East",0,0,0,75,0,0,0,0,0,10.8,-64.217
"Cubagua","Punta Conejo","Insular","East",25,0,0,73.7179487179487,0,0,1.28205128205128,0,0,10.83,-64.165
"Los Frailes","Cominoto","Insular","East",0,0,0,100,0,0,0,0,0,11.215,-63.768
"Los Frailes","La Pecha","Insular","East",0,0,0,25,0,0,0,0,0,11.202,-63.753
"Los Frailes","Puerto Real","Insular","East",0,0,0.416666666666668,81.4556277056277,0,0,18.1277056277057,0,0,11.188,-63.73
"Los Roques","Cayo de Agua","Insular","West",35.1816500326714,0,0,59.2053274329155,0,0,0.98310291858679,4.09228520722414,0.53763440860215,11.817,-66.94
"Los Roques","Cote","Insular","West",7.5013638843426,0,3.19148936170212,87.4565505416569,0,0,1.85059621229834,0,0,11.773,-66.721
"Los Roques","Dos Mosquises","Insular","West",22.8246753246753,0,0.357142857142857,75.0953175265102,1.13636363636364,0,0.229357798165138,0.357142857142857,0,11.793,-66.896
"Los Roques","La Venada","Insular","West",97.9836137417408,0,0,0.839345172031078,0,0,1.17704108622818,0,0,11.879,-66.724
"Los Roques","Las Salinas","Insular","West",0,0,0,97.0693779904306,0,0,2.93062200956938,0,0,11.74,-66.807
"Los Roques","Madriski","Insular","West",0,0,10.9377650075324,83.1364670318159,0,1.25,1.92567567567567,0,2.750092284976,11.94,-66.661
"Los Roques","Rabuski","Insular","West",0,1.29048582995951,0,97.5086636763236,0,0,1.20085049371684,0,0,11.882,-66.689
"Mochima","Blanca","Continental","East",0,0.384615384615385,0,99.6153846153846,0,0,0,0,0,10.394,-64.335
"Mochima","Carabela","Continental","East",0,0,0,50,0,0,0,0,0,10.387,-64.375
"Mochima","Gabarra","Continental","East",0,0,0,100,0,0,0,0,0,10.382,-64.338
"Mochima","Garrapata","Continental","East",0,0,0,99.7159090909091,0,0,0.28409090909091,0,0,10.381,-64.338
"Mochima","Punta Cruz","Continental","East",0,0,0,100,0,0,0,0,0,10.396,-64.368
"Mochima","San Agustin","Continental","East",0,0,0,25,0,0,0,0,0,10.382,-64.347
"Morrocoy","Bajo Caiman","Continental","West",0,0,0,76.6666666666667,0,0,23.3333333333333,0,0,10.851,-68.069
"Morrocoy","Boca Seca","Continental","West",1.5625,0,0,76.5625,0,0,21.875,0,0,10.834,-68.237
"Morrocoy","Medio","Continental","West",11.9565217391304,0.166666666666667,7.46095340759372,78.8941541625881,0,0,1.31509245377311,0.206611570247934,0,10.742,-68.236
"Morrocoy","Mero","Continental","West",12.7777777777778,0,0,48.6004273504274,0,0,12.9273504273504,0.694444444444445,0,10.82,-68.248
"Morrocoy","Norte","Continental","West",2.42276987157237,0.241545893719807,3.1079466322089,92.7914910749501,0,0,1.43624652754887,0,0,10.78,-68.201
"Morrocoy","Sombrero","Continental","West",0,0.277777777777778,2.3015873015873,90.8103549090718,0,0,5.53885144013455,0.357142857142857,0.714285714285715,10.889,-68.215
"Morrocoy","Sur","Continental","West",0,0.225225225225225,1.5625,97.3917370495495,0,0,0.820537725225225,0,0,10.729,-68.244
"Ocumare","Cienaga este","Continental","Center",1.08695652173913,0,0,98.9130434782609,0,0,0,0,0,10.487,-67.804
"Ocumare","Cienaga interno","Continental","Center",0,0,0.36764705882353,99.0085011346853,0,0,0.62385180649112,0,0,10.475,-67.809
"Ocumare","Cienaga oeste","Continental","Center",0,0,0,94.5127176744824,3.41864018334607,0,1.33334802452449,0.73529411764706,0,10.478,-67.809
"Ocumare","Guabinitas","Continental","Center",0,0.694444444444445,0,97.8349673202614,0,0,1.47058823529412,0,0,10.484,-67.825
